createdAt;orderId;fulfillmentId;type;channel;location;sku;treatmentQuantity;acquisitionType;stockType;reason;treatmentType;totalOrPartial;registeredAt;situation
2026-08-11T18:52:22.000Z;1653472438006;02;SHIPMENT;lancaperfume;LP PORTO ALEGRE BARRA SUL;502BL009839-A4524PP;1;PURCHASE;PHYSICAL;SENDING_TO_DC;STOCKOUT;total;2026-08-14T13:24:12.000Z;processed
2026-08-11T20:11:18.000Z;1653482438172;03;SHIPMENT;lancaperfume;LP PORTO ALEGRE BARRA SUL;502LG000507-A0003P;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-08-14T13:24:28.000Z;processed
2026-08-12T01:43:53.000Z;1653542438741;02;SHIPMENT;lancaperfume;LP PORTO ALEGRE BARRA SUL;503BL001771-A3226G;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-08-14T13:24:41.000Z;processed
2026-08-12T02:37:22.000Z;1653552438812;03;SHIPMENT;lancaperfume;LP PORTO ALEGRE BARRA SUL;502TS005594-A4725G;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-08-14T13:24:52.000Z;processed
2026-08-12T04:10:57.000Z;1653562438912;02;SHIPMENT;lancaperfume;LP PORTO ALEGRE BARRA SUL;502BL009825-A0001M;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-08-14T13:25:06.000Z;processed
2026-08-12T00:14:03.000Z;1653522438584;02;SHIPMENT;lancaperfume;LP BH BOULEVARD;502VE012601-A4107PP;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-08-14T15:37:31.000Z;processed
2026-08-12T15:45:44.000Z;1653682439427;02;SHIPMENT;lancaperfume;LP PORTO ALEGRE BARRA SUL;502VE012629-A4234M;1;PURCHASE;PHYSICAL;RUPTURE;STOCKOUT;total;2026-08-14T20:30:29.000Z;processed
2026-08-12T15:45:44.000Z;1653682439427;02;SHIPMENT;lancaperfume;LP PORTO ALEGRE BARRA SUL;502VE012673-A4040M;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-08-14T20:30:29.000Z;processed
2026-08-09T21:57:40.000Z;1653022435277;01;SHIPMENT;lancaperfume;LP BRASILIA PARKSHOPPING;502TS005447-A4037M;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-08-14T20:56:07.000Z;processed
2026-08-09T21:57:40.000Z;1653022435277;01;SHIPMENT;lancaperfume;LP BRASILIA PARKSHOPPING;502TS005590-A4210M;1;PURCHASE;PHYSICAL;DEFECT;STOCKOUT;total;2026-08-14T20:56:07.000Z;processed
2026-08-13T02:26:09.000Z;1653782440457;02;SHIPMENT;lancaperfume;LP MANAUS PONTA NEGRA;502VE012929-A4532G;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-08-15T14:45:17.000Z;processed
2026-08-05T02:32:35.000Z;1651872426681;02;SHIPMENT;lancaperfume;LP CURITIBA BARIGUI;502JA001193-A4511PP;1;PURCHASE;PHYSICAL;SYSTEM_ERROR;STOCKOUT;total;2026-08-15T16:42:31.000Z;processed
2026-08-05T13:36:10.000Z;1651982427147;03;SHIPMENT;lancaperfume;LP CURITIBA BARIGUI;502VE012836-A0003P;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-08-15T18:36:53.000Z;processed
2026-08-12T22:32:18.000Z;1653752440043;02;SHIPMENT;lancaperfume;LP RECIFE RIO MAR;503BL001752-A3219G;1;PURCHASE;PHYSICAL;SENDING_TO_DC;STOCKOUT;total;2026-08-15T18:55:01.000Z;processed
