sku;colecao;categoria;subcategoria
100000100;AV09;Jeanswear;Bermuda
100000300;AV09;Jeanswear;Bermuda
100000400;AV09;Jeanswear;Bermuda
100000500;AV09;Jeanswear;Bermuda
100000600;AV09;Jeanswear;Bermuda
100000700;AV09;Jeanswear;Bermuda
100000800;AV09;Jeanswear;Bermuda
100000900;AV09;Jeanswear;Bermuda
100001000;AV09;Jeanswear;Bermuda
100001100;AV09;Jeanswear;Bermuda
100001200;AV09;Jeanswear;Bermuda
100001300;AV09;Jeanswear;Bermuda
100001400;AV09;Jeanswear;Bermuda
100001800;AV09;Jeanswear;Bermuda
100002100;AV09;Jeanswear;Bermuda
100002300;AV09;Jeanswear;Bermuda
100002400;AV09;Jeanswear;Bermuda
100002600;AV09;Jeanswear;Bermuda
100002700;AV09;Jeanswear;Bermuda
100003200;AV09;Jeanswear;Calça
100003300;AV09;Jeanswear;Calça
100006300;AV09;Jeanswear;Bermuda
100006400;AV09;Jeanswear;Bermuda
100006500;AV09;Jeanswear;Bermuda
100006600;AV09;Jeanswear;Bermuda
100006800;AV09;Jeanswear;Saia
100006900;AV09;Jeanswear;Saia
100007000;AV09;Jeanswear;Saia
100007100;AV09;Jeanswear;Shorts
100007300;AV09;Jeanswear;Shorts
100007400;AV09;Jeanswear;Shorts
100007600;AV09;Jeanswear;Shorts
100008000;VE09;Jeanswear;Bermuda
100008100;VE09;Jeanswear;Bermuda
100008200;VE09;Jeanswear;Bermuda
100008400;VE09;Jeanswear;Bermuda
100008500;VE09;Jeanswear;Bermuda
100008600;VE09;Jeanswear;Bermuda
100008700;VE09;Jeanswear;Bermuda
100008800;VE09;Jeanswear;Bermuda
100008900;VE09;Jeanswear;Bermuda
100009100;VE09;Jeanswear;Bermuda
100009400;VE09;Jeanswear;Bermuda
100009500;VE09;Jeanswear;Calça
100009600;VE09;Jeanswear;Calça
100010000;VE09;Jeanswear;Calça
100010400;VE09;Jeanswear;Calça
100011500;VE09;Jeanswear;Calça
100011600;VE09;Jeanswear;Calça
100011700;VE09;Jeanswear;Calça
100012100;VE09;Jeanswear;Calça
100012200;VE09;Jeanswear;Calça
100012800;VE09;Jeanswear;Calça
100013100;VE09;Jeanswear;Calça
100013400;VE09;Jeanswear;Calça
100013500;VE09;Jeanswear;Calça
100014100;VE09;Jeanswear;Calça
100014200;VE09;Jeanswear;Calça
100014400;VE09;Jeanswear;Calça
100014500;VE09;Jeanswear;Calça
100014600;VE09;Jeanswear;Calça
100015200;VE09;Jeanswear;Calça
100015300;VE09;Jeanswear;Calça
100015400;VE09;Jeanswear;Calça
100015700;VE09;Jeanswear;Calça
100015900;VE09;Jeanswear;Calça
100016000;VE09;Jeanswear;Calça
100016900;VE09;Jeanswear;Bermuda
100017000;VE09;Jeanswear;Bermuda
100017100;VE09;Jeanswear;Bermuda
100017200;VE09;Jeanswear;Bermuda
100017300;VE09;Jeanswear;Bermuda
